track_id,market,total_streams,rank,track_name,artist,genre_harmonized,year,success_score,danceability,energy,valence
3SUNHWszXHmCx0J668tqq1,UK,71877.0,50.0,Televised Mind,Fontaines D.C.,Other,2020,61.70803989812091,0.337,0.897,0.266
4Qy2Eo9URGWbV4VzwBTdxU,DE,6563277.0,74.55,Scarface (feat. Capo & Rick Ross),Farid Bang,Hip-Hop,2020,61.705586317763036,0.612,0.665,0.5429999999999999
4rqMsKk1nEjL275UH7qGMp,DE,1039653.0,93.625,Nie erwartet,Gzuz,Hip-Hop,2020,61.70372358471246,0.6709999999999999,0.748,0.192
1NFRjwcyR91yN0cLRm8263,BR,21868005.0,133.32642487046633,Vai Lá,Wesley Safadão,Latin,2021,61.70347371359154,0.726,0.872,0.858
01AXHOcjq5Ikq1mKyNm9bM,DE,1880311.0,64.1875,CASINO,Katja Krasavice,Hip-Hop,2020,61.696270796002345,0.794,0.489,0.542
0GzuHFG4Ql6DoyxFRnIk3F,BR,798031.0,135.25,Hawái - Remix,"Maluma, The Weeknd",Latin,2020,61.68929008063471,0.7659999999999999,0.7879999999999999,0.609
187Pge0WmJNoS73kaIORSE,BR,105775253.0,56.73142857142857,Figurinha - Ao Vivo,"Douglas & Vinicius, MC Bruninho",Pop,2021,61.68401734135204,0.591,0.757,0.574
6te4u5fA8mtW1DYoB9YV4t,DE,1446592.5,63.64705882352941,Leev Marie,Paveier,Rock,2021,61.68209802130487,0.56,0.937,0.8590000000000001
04e7gxVx4zMzgQ589bMMim,DE,2341361.0,103.95238095238095,Fokus auf die Zukunft,Ufo361,Hip-Hop,2020,61.67939224730083,0.823,0.662,0.195
3kY7f3qkk184PsKPylIEes,UK,1636827.0,93.83333333333333,Mains,"Skepta, Chip, Young Adz",Other,2020,61.67313649225249,0.758,0.7020000000000001,0.6779999999999999
11OwAR3GlBj9E35Cznf7Lj,BR,348263.0,106.0,Vulnerable,Selena Gomez,Pop,2020,61.66722621970946,0.695,0.573,0.38
1mH6tZC6iXIHPI6EixCwxw,UK,11977435.0,49.74545454545454,I Wish It Could Be Christmas Everyday,Wizzard,Pop,2021,61.654795456874275,0.383,0.914,0.528
2B1hRfTwS9HtP1MxAma1nu,DE,4779522.0,113.3,STAR,"Nimo, Luciano",Hip-Hop,2020,61.65185482270239,0.797,0.802,0.637
4cSSL3YafYjM3yjgFO1vJg,UK,6506433.0,119.1826923076923,Walk Em Down (feat. Roddy Ricch),"Roddy Ricch, NLE Choppa",Hip-Hop,2020,61.64695829408423,0.867,0.7440000000000001,0.645
1kNOYGYeUNIemqnotftMck,DE,3677485.0,93.83333333333333,Underdog,Elias,Hip-Hop,2020,61.64416914584927,0.763,0.808,0.6
6fNpPZgEDUU7jrcJCpMyaV,DE,775668.0,103.28571428571429,Tick Tash,Joker Bra,Hip-Hop,2020,61.633433078925464,0.823,0.813,0.524
3XSefjiSHsD34F7clH84xa,BR,2691939.0,112.53333333333333,O Que Falta Em Você Sou Eu - Ao Vivo,Marília Mendonça,Latin,2021,61.61566717950263,0.67,0.6709999999999999,0.5329999999999999
7dt6x5M1jzdTEt8oCbisTK,UK,3053159.0,177.50819672131146,Better Now,Post Malone,Hip-Hop,2020,61.61342113893213,0.68,0.578,0.341
5ruzrDWcT0vuJIOMW7gMnW,UK,83955.0,93.0,The Adults Are Talking,The Strokes,Rock,2020,61.5973612140107,0.593,0.7490000000000001,0.65
5F8ffc8KWKNawllr5WsW0r,BR,51761520.0,78.0139534883721,Surtada - Remix Brega Funk,"Dadá Boladão, Tati Zaqui, OIK",Other,2020,61.585747228943774,0.8320000000000001,0.55,0.8809999999999999
19LiotxKSVs7FeVMEdHz63,DE,579297.0,31.0,Move,The Mamas,Pop,2020,61.58412967924798,0.465,0.784,0.5660000000000001
2tnVG71enUj33Ic2nFN6kZ,UK,25654650.0,96.62458471760797,Ride It,Regard,Electronic,2021,61.5713747540175,0.88,0.7509999999999999,0.884
1ZvBVbsaNqHEP6ymXaPGlj,UK,562915.0,109.85714285714286,Lion King On Ice,J. Cole,Hip-Hop,2020,61.56933273164348,0.732,0.6629999999999999,0.227
2OQ6a4CfUeYskpTTgyawyJ,DE,4084312.0,116.57575757575758,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,Pop,2021,61.56551617532648,0.635,0.87,0.912
0GzuHFG4Ql6DoyxFRnIk3F,DE,1577303.0,133.95238095238096,Hawái - Remix,"Maluma, The Weeknd",Latin,2020,61.56158428882096,0.7659999999999999,0.7879999999999999,0.609
4dyrqiXUcK29hzrL2elqO3,UK,2460344.0,117.7,Like It Is,"Kygo, Zara Larsson, Tyga",Electronic,2020,61.560208101016926,0.789,0.727,0.343
1fipvP2zmef6vN2IwXfJhY,UK,4894699.0,85.76785714285714,I’m Ready (with Demi Lovato),Sam Smith,Pop,2020,61.55952280415334,0.501,0.674,0.152
2ICse7t8MB60EFk6o9aUyw,DE,7010408.0,85.71641791044776,Who's Laughing Now,Ava Max,Pop,2020,61.55914987718325,0.648,0.6409999999999999,0.505
5cDPbx1QZnkkWyAs4eRnQy,DE,3393484.0,94.92857142857143,Das ist für die Diebe,AK AUSSERKONTROLLE,Hip-Hop,2020,61.54870458430776,0.835,0.629,0.161
